slug,title_len,title_core_len,title_suffix,h1_count,h2_count,h2_question,h2_numbered,body_chars,keypoints,keypoints_is_toc,keypoints_has_target,visible_pubdate,visible_moddate,visible_author,ld_types,ld_blocks,has_faqpage,faq_q_ld,faq_q_body,faq_h2,author_by_id,tel_in_ld,wordcount_ld,datePublished,dateModified,mod_eq_pub,age_days,related_cards,inbody_blog_links,ext_domains,ext_list,cta_coconala_text_to_contact,cta_links,img_count,img_no_wh,img_no_alt,img_non_webp,img_no_lazy,ga4_config,clarity,canonical,canonical_ok,n_200社,n_110社,n_70社,"n_3,000円","n_¥10,000","n_10,000円",n_1万円,intro_chars,has_evidence_words
ai-accounting-automation,56,33,True,1,7,0,5,3250,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,3311,2026-04-06,2026-09-10,False,157,3,0,3,code.claude.com fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-accounting-automation.html,True,0,0,0,0,1,0,0,523,2
ai-adoption-mistakes,45,22,True,1,9,0,5,3107,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,3212,2026-03-25,2026-03-25,True,169,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,4,0,0,0,0,1,1,https://www.piste-ai.com/blog/ai-adoption-mistakes.html,True,2,0,0,0,1,0,0,460,1
ai-automation-one-person-business,56,33,True,1,8,0,0,2428,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,2511,2026-04-15,2026-04-15,True,148,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-automation-one-person-business.html,True,0,0,0,0,1,0,0,504,0
ai-competitor-analysis,39,16,True,1,9,1,6,3409,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList,1,False,0,0,False,True,True,3499,2026-04-17,2026-04-17,True,146,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,5,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-competitor-analysis.html,True,0,0,0,0,1,0,0,425,1
ai-contract-review-automation,46,23,True,1,10,0,0,4264,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList,1,False,0,0,False,True,True,4372,2026-04-16,2026-04-16,True,147,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談を申し込む→../#contact | 無料相談→../#contact,4,0,0,0,0,1,1,https://www.piste-ai.com/blog/ai-contract-review-automation.html,True,0,0,0,0,0,0,0,732,0
ai-cost-roi-for-sme,52,29,True,1,9,0,0,3762,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,5,0,True,True,True,3842,2026-04-01,2026-04-01,True,162,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,4,0,0,0,0,1,1,https://www.piste-ai.com/blog/ai-cost-roi-for-sme.html,True,1,0,0,0,1,2,1,578,1
ai-customer-support-automation,34,11,True,1,9,0,0,2944,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,3044,2026-04-09,2026-04-09,True,154,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 問い合わせ対応の自動化→#inquiry | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-customer-support-automation.html,True,1,0,0,0,1,0,1,473,2
ai-data-analysis-dashboard,35,12,True,1,10,0,7,3735,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,5,0,True,True,True,3854,2026-04-13,2026-04-13,True,150,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,5,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-data-analysis-dashboard.html,True,0,0,0,0,1,0,0,462,0
ai-inventory-management,55,32,True,1,9,0,0,2721,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,2800,2026-04-12,2026-04-12,True,151,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-inventory-management.html,True,1,0,0,0,1,0,0,490,1
ai-knowledge-management,44,21,True,1,10,0,7,4295,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,4405,2026-04-14,2026-04-14,True,149,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-knowledge-management.html,True,0,0,0,0,1,1,0,438,1
ai-meeting-minutes-automation,57,34,True,1,8,0,0,2815,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,2888,2026-04-02,2026-04-02,True,161,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-meeting-minutes-automation.html,True,0,0,0,0,1,0,0,554,0
ai-presentation-automation,37,14,True,1,10,0,7,4028,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,4145,2026-04-13,2026-04-13,True,150,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,5,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-presentation-automation.html,True,0,0,0,0,1,0,0,414,1
ai-prompt-techniques-business,56,33,True,1,8,0,5,4264,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,5,0,True,True,True,4347,2026-04-06,2026-04-06,True,157,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-prompt-techniques-business.html,True,0,0,0,0,1,0,0,538,0
ai-recruitment-efficiency,56,33,True,1,7,0,0,2788,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,2876,2026-04-04,2026-04-04,True,159,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-recruitment-efficiency.html,True,0,0,0,0,1,3,0,522,0
ai-sales-email-automation,55,32,True,1,9,0,0,2522,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,2580,2026-04-11,2026-04-11,True,152,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,4,0,0,0,0,1,1,https://www.piste-ai.com/blog/ai-sales-email-automation.html,True,1,0,0,0,1,0,0,492,1
ai-sales-growth-examples,49,26,True,1,8,0,0,2168,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList,1,False,0,0,False,True,True,2253,2026-04-17,2026-04-17,True,146,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談を申し込む→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-sales-growth-examples.html,True,0,0,0,0,0,0,0,535,3
ai-sns-marketing-automation,62,39,True,1,10,1,7,3466,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,3528,2026-04-07,2026-04-07,True,156,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-sns-marketing-automation.html,True,0,0,0,0,1,0,0,614,0
ai-tools-for-business-2026,60,37,True,1,9,0,0,3299,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,5,0,True,True,True,3374,2026-03-15,2026-03-15,True,179,3,0,2,fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談はこちら→../#contact | 無料相談はこちら→../#contact,4,0,0,0,0,1,1,https://www.piste-ai.com/blog/ai-tools-for-business-2026.html,True,0,0,0,0,0,1,0,504,0
claude-code-airregi-integration,61,38,True,1,10,0,7,3174,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,4,True,True,True,3391,2026-06-24,2026-06-24,True,78,3,0,1,fonts.googleapis.com,0,お問い合わせ→../#contact,5,0,0,0,0,1,1,https://www.piste-ai.com/blog/claude-code-airregi-integration.html,True,1,0,0,0,1,0,0,515,0
claude-code-airtable-integration,62,39,True,1,9,0,7,2584,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,3,3,True,True,True,2849,2026-05-22,2026-05-22,True,111,3,0,0,,0,お問い合わせはこちら→../#contact,3,0,0,0,0,1,1,https://www.piste-ai.com/blog/claude-code-airtable-integration.html,True,0,0,0,0,1,0,0,455,1
claude-code-amazon-seller-integration,65,42,True,1,10,0,7,2943,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,3,3,True,True,True,3237,2026-06-20,2026-06-20,True,82,3,0,0,,0,導入サポートを相談する→../#contact,6,0,0,0,0,1,1,https://www.piste-ai.com/blog/claude-code-amazon-seller-integration.html,True,0,0,0,0,1,0,0,484,0
claude-code-ameblo-integration,55,32,True,1,10,0,7,4042,3,True,False,True,False,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,3,3,True,True,True,4138,2026-07-11,2026-07-11,True,61,3,0,1,fonts.googleapis.com,0,お問い合わせ→../#contact | ココナラで相談する→https://coconala.com/users/2208051,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/claude-code-ameblo-integration.html,True,1,0,0,0,0,0,0,490,1
