slug,title_len,title_core_len,title_suffix,h1_count,h2_count,h2_question,h2_numbered,body_chars,keypoints,keypoints_is_toc,keypoints_has_target,visible_pubdate,visible_moddate,visible_author,ld_types,ld_blocks,has_faqpage,faq_q_ld,faq_q_body,faq_h2,author_by_id,tel_in_ld,wordcount_ld,datePublished,dateModified,mod_eq_pub,age_days,related_cards,inbody_blog_links,ext_domains,ext_list,cta_coconala_text_to_contact,cta_links,img_count,img_no_wh,img_no_alt,img_non_webp,img_no_lazy,ga4_config,clarity,canonical,canonical_ok,n_200社,n_110社,n_70社,"n_3,000円","n_¥10,000","n_10,000円",n_1万円,intro_chars,has_evidence_words
ai-accounting-automation,56,33,True,1,7,2,5,3498,3,False,True,True,True,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,3463,2026-04-06,2026-09-10,False,157,3,2,3,code.claude.com fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-accounting-automation.html,True,0,0,0,0,1,0,0,648,2
ai-adoption-mistakes,45,22,True,1,9,2,5,3340,3,False,True,True,True,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,3348,2026-03-25,2026-09-10,False,169,3,2,3,code.claude.com fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,4,0,0,0,0,1,1,https://www.piste-ai.com/blog/ai-adoption-mistakes.html,True,0,0,0,0,1,0,0,582,1
ai-automation-one-person-business,56,33,True,1,8,2,0,2655,3,False,True,True,True,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,2651,2026-04-15,2026-09-10,False,148,3,2,3,code.claude.com fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-automation-one-person-business.html,True,0,0,0,0,1,0,0,617,0
ai-competitor-analysis,39,16,True,1,10,3,6,3950,3,False,True,True,True,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,3,0,True,True,True,3937,2026-04-17,2026-09-10,False,146,3,2,3,code.claude.com fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,5,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-competitor-analysis.html,True,0,0,0,0,1,0,0,528,1
ai-contract-review-automation,46,23,True,1,11,2,0,4917,3,False,True,True,True,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,3,0,True,True,True,4928,2026-04-16,2026-09-10,False,147,3,2,3,code.claude.com fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談を申し込む→../#contact | 無料相談→../#contact,4,0,0,0,0,1,1,https://www.piste-ai.com/blog/ai-contract-review-automation.html,True,0,0,0,0,0,0,0,854,0
ai-cost-roi-for-sme,52,29,True,1,9,2,0,4040,3,False,True,True,True,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,5,0,True,True,True,4030,2026-04-01,2026-09-10,False,162,3,2,3,fonts.googleapis.com fonts.gstatic.com it-shien.smrj.go.jp,0,無料相談→../#contact | 無料相談→../#contact,4,0,0,0,0,1,1,https://www.piste-ai.com/blog/ai-cost-roi-for-sme.html,True,0,0,0,0,1,2,1,686,1
ai-customer-support-automation,34,11,True,1,9,2,0,3191,3,False,True,True,True,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,3186,2026-04-09,2026-09-10,False,154,3,2,3,fonts.googleapis.com fonts.gstatic.com workspace.google.com,0,無料相談→../#contact | 問い合わせ対応はAIでどう自動化できますか？→#inquiry | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-customer-support-automation.html,True,0,0,0,0,1,0,1,598,2
ai-data-analysis-dashboard,35,12,True,1,10,2,7,3922,3,False,True,True,True,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,5,0,True,True,True,3929,2026-04-13,2026-09-10,False,150,3,1,3,code.claude.com fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,5,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-data-analysis-dashboard.html,True,0,0,0,0,1,0,0,574,0
ai-inventory-management,55,32,True,1,9,2,0,2914,3,False,True,True,True,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,2887,2026-04-12,2026-09-10,False,151,3,1,3,claude.com fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-inventory-management.html,True,0,0,0,0,1,0,0,616,1
ai-knowledge-management,44,21,True,1,10,2,7,4438,3,False,True,True,True,True,Organization+ProfessionalService Person WebSite BlogPosting BreadcrumbList FAQPage,1,True,4,0,True,True,True,4456,2026-04-14,2026-09-10,False,149,3,1,3,code.claude.com fonts.googleapis.com fonts.gstatic.com,0,無料相談→../#contact | 無料相談→../#contact,7,0,0,0,1,1,1,https://www.piste-ai.com/blog/ai-knowledge-management.html,True,0,0,0,0,1,1,0,530,1
